State,Type,Name,Office,Party,Incumbent,fd_url
Kentucky,State,Matthew Lehman,Kentucky House of Representatives District 67,Democratic,N,https://www.linkedin.com/in/matthew-lehman-2a716622b
Kentucky,State,James Palumbo,Kentucky House of Representatives District 76,Democratic,N,https://www.linkedin.com/in/jamie-palumbo-6a10914
Kentucky,State,George A. Brown Jr.,Kentucky House of Representatives District 77,Democratic,Y,https://www.linkedin.com/in/george-brown-52ab6775
Kentucky,State,Daniel Whitley,Kentucky House of Representatives District 77,Democratic,N,https://www.linkedin.com/in/jason-griffith-5898292b
Kentucky,State,Cherlynn Stevenson,Kentucky House of Representatives District 88,Democratic,Y,https://www.linkedin.com/in/jessicatretter
Kentucky,State,James Reneau,Kentucky House of Representatives District 98,Democratic,N,https://www.linkedin.com/in/lester-claravall-49535960
Kentucky,State,Joe Virgin,Kentucky House of Representatives District 98,Democratic,N,https://www.linkedin.com/in/joe-ewald-46a44a32
Kentucky,State,Tammie Womack,Kentucky House of Representatives District 98,Democratic,N,https://www.linkedin.com/in/tammy-womack-a190112b
Kentucky,State,Lisa Payne Jones,Kentucky Court of Appeals 1st Division 2(Special election),Nonpartisan,N,https://www.linkedin.com/in/lapayne
Kentucky,Local,Mark Lynch,Jefferson County Commission District B,Democratic,N,https://www.linkedin.com/in/mark-lynch-2b1201174
Kentucky,Local,Meredith Price,Lexington City Council District 5,Nonpartisan,N,https://www.linkedin.com/in/meredithprice
Kentucky,Local,Jennifer Reynolds,Lexington City Council District 11,Nonpartisan,Y,https://www.linkedin.com/in/jennifer-stigers-355649a3
Kentucky,Local,Carol Clark,Louisville Metro Council District 4,Democratic,N,https://www.linkedin.com/in/mckenzie-combs-5734a64b
